"R2","lin","inter","betaLin","betaInter","R2_lin","R2_inter","R2_total","R2_add","diff"
0.2,0.5,0.5,0.119289528001278,0.109992606626763,0.0999961903714702,0.0999967999582376,0.198672678913115,0.199992990329708,NA
0.5,0.5,0.5,0.23799663407132,0.219447810524431,0.249999307033157,0.249999982787096,0.496698400276314,0.499999289820253,NA
0.8,0.5,0.5,0.471374816552769,0.434638699356883,0.399996768211148,0.400000757733303,0.794716111505871,0.799997525944451,NA
0.2,0,1,0,0.155683874227424,0,0.199998679660537,0.199998679660537,0.199998679660537,NA
0.5,0,1,0,0.311370632660667,0,0.500002568453252,0.500002568453252,0.500002568453252,NA
0.8,0,1,0,0.622738587432148,0,0.800000267754706,0.800000267754706,0.800000267754706,NA
0.2,1,0,0.168843384410371,0,0.199998877508269,0,0.199998877508269,0.199998877508269,NA
0.5,1,0,0.337689427644156,0,0.500002182906539,0,0.500002182906539,0.500002182906539,NA
0.8,1,0,0.675377518698122,0,0.800000763771151,0,0.800000763771151,0.800000763771151,NA
